customer_id,signup_date,segment,city,state,country
1,2023-04-20,Home Office,Port Donnaside,Maryland,USA
2,2026-03-19,Corporate,East Sherichester,Rhode Island,USA
3,2024-07-15,Corporate,East Benjaminview,Ohio,USA
4,2025-06-08,Corporate,South David,Oregon,USA
5,2025-05-06,Corporate,Masseymouth,Alabama,USA
6,2025-04-27,Corporate,Laurentown,Idaho,USA
7,2024-02-26,Home Office,North Richard,California,USA
8,2024-12-15,Corporate,Frankburgh,Michigan,USA
9,2024-01-31,Corporate,Rileymouth,New Hampshire,USA
10,2024-10-23,Home Office,Morganhaven,Texas,USA
11,2024-11-02,Home Office,Angelside,Nevada,USA
12,2023-05-03,Corporate,Pricetown,Idaho,USA
13,2024-09-08,Consumer,Mayton,Kansas,USA
14,2024-02-03,Home Office,Raymondport,Georgia,USA
15,2025-02-17,Corporate,Michaelland,Idaho,USA
16,2023-08-04,Corporate,South Johnside,Louisiana,USA
17,2024-02-06,Home Office,Maryland,Louisiana,USA
18,2023-09-24,Home Office,Kellyborough,Massachusetts,USA
19,2023-10-16,Corporate,Nicolemouth,Maryland,USA
20,2025-02-08,Home Office,Abbottside,Kansas,USA
21,2025-04-21,Consumer,Ericbury,Hawaii,USA
22,2025-12-25,Home Office,Colemanton,North Carolina,USA
23,2024-01-14,Home Office,Nicholeton,Delaware,USA
24,2024-06-19,Home Office,Freemanfort,Utah,USA
25,2024-10-13,Home Office,Langbury,West Virginia,USA
26,2025-03-12,Corporate,North Crystal,Texas,USA
27,2023-09-22,Corporate,Garzaview,Minnesota,USA
28,2023-08-16,Consumer,Lake Cherylstad,Rhode Island,USA
29,2024-11-14,Corporate,Aliciaton,Alaska,USA
30,2025-08-15,Consumer,Traciland,Utah,USA
31,2023-11-22,Corporate,Robertsonview,New Hampshire,USA
32,2024-02-07,Consumer,Williamfort,Pennsylvania,USA
33,2024-06-30,Home Office,Marcshire,Louisiana,USA
34,2025-10-18,Corporate,Norrishaven,Nevada,USA
35,2024-12-07,Corporate,Timothyville,Georgia,USA
36,2023-05-08,Corporate,Garrettmouth,New Mexico,USA
37,2024-03-17,Home Office,Mackchester,Delaware,USA
38,2024-08-18,Home Office,North Michelle,South Carolina,USA
39,2024-10-24,Home Office,Powellburgh,Michigan,USA
40,2026-04-16,Corporate,Erikmouth,Illinois,USA
41,2023-12-25,Home Office,Michellebury,Vermont,USA
42,2024-04-19,Corporate,Barkerbury,South Carolina,USA
43,2024-09-06,Consumer,Lake Melindaview,Colorado,USA
44,2024-05-13,Corporate,South Davidside,West Virginia,USA
45,2023-06-28,Consumer,New Bob,Kentucky,USA
46,2023-10-07,Home Office,Wilkersonburgh,Montana,USA
47,2023-11-07,Corporate,Morrisview,Colorado,USA
48,2024-08-21,Home Office,Port Natashahaven,Mississippi,USA
49,2024-03-25,Corporate,New Catherine,Georgia,USA
50,2024-08-20,Corporate,Port Tanya,North Carolina,USA
51,2024-03-22,Home Office,West Brandonbury,North Dakota,USA
52,2025-08-01,Home Office,Lake Marcus,Arizona,USA
53,2024-07-17,Corporate,Port Jasonview,California,USA
54,2025-04-10,Consumer,East Sharonchester,Nebraska,USA
55,2025-07-12,Home Office,Port Cody,Ohio,USA
56,2023-11-13,Home Office,New Marychester,Utah,USA
57,2026-01-10,Corporate,Moodystad,Wisconsin,USA
58,2023-10-18,Consumer,Lake Theresaton,Minnesota,USA
59,2025-01-04,Home Office,East Jeremiah,Arizona,USA
60,2026-03-14,Consumer,Amberbury,Minnesota,USA
61,2025-08-04,Home Office,South William,Arkansas,USA
62,2024-09-26,Consumer,West Melissa,Illinois,USA
63,2023-08-11,Home Office,Saraberg,Idaho,USA
64,2025-12-15,Consumer,New Jessica,Alaska,USA
65,2024-03-11,Corporate,Bethmouth,Michigan,USA
66,2024-10-19,Consumer,Port Patrickville,Alaska,USA
67,2023-07-18,Home Office,South Lisachester,California,USA
68,2023-05-11,Home Office,New Scott,Colorado,USA
69,2024-12-29,Corporate,Lake Anthony,South Dakota,USA
70,2024-11-09,Corporate,Romerochester,Michigan,USA
71,2025-11-13,Consumer,Vasquezburgh,Tennessee,USA
72,2023-12-06,Consumer,Robinsonport,Kansas,USA
73,2024-10-01,Corporate,Stephaniefurt,Iowa,USA
74,2025-08-06,Consumer,Port Amanda,Ohio,USA
75,2023-09-07,Corporate,North Brooke,Louisiana,USA
76,2024-07-14,Consumer,New Richardstad,Oklahoma,USA
77,2024-03-02,Consumer,Barbaraton,Missouri,USA
78,2024-09-21,Consumer,Port William,Wyoming,USA
79,2025-04-28,Corporate,Nancyburgh,Pennsylvania,USA
80,2025-08-06,Corporate,Williamport,Illinois,USA
81,2024-03-26,Corporate,Port Markfort,Kansas,USA
82,2023-06-22,Corporate,Bassfort,South Carolina,USA
83,2026-02-07,Consumer,Davidview,New Jersey,USA
84,2026-02-07,Home Office,Lake Lisaton,Rhode Island,USA
85,2026-04-10,Home Office,South Mark,Pennsylvania,USA
86,2024-08-11,Corporate,Garciashire,Florida,USA
87,2023-04-25,Corporate,New Conniebury,Florida,USA
88,2024-12-18,Home Office,New Amanda,Ohio,USA
89,2024-02-11,Corporate,Baileybury,North Dakota,USA
90,2025-03-04,Home Office,Ryanfurt,Maine,USA
91,2025-08-28,Corporate,Lake Maryberg,Massachusetts,USA
92,2024-10-23,Home Office,Sanchezhaven,Illinois,USA
93,2023-08-06,Home Office,South Dawn,California,USA
94,2023-11-21,Corporate,North Kristie,Maryland,USA
95,2023-08-11,Corporate,Katherinefort,Alabama,USA
96,2025-06-22,Home Office,Brockborough,West Virginia,USA
97,2025-01-23,Consumer,Pearsonstad,New Hampshire,USA
98,2023-09-29,Home Office,Reedchester,Vermont,USA
99,2025-03-13,Consumer,Wagnerfurt,New York,USA
100,2023-04-17,Home Office,North Patricia,Utah,USA
101,2025-12-10,Home Office,West Scott,North Dakota,USA
102,2023-06-30,Consumer,Taylorland,Wyoming,USA
103,2023-04-23,Consumer,East Omar,Oklahoma,USA
104,2024-06-06,Consumer,West Michealchester,Wisconsin,USA
105,2025-05-08,Corporate,Blanchardport,Ohio,USA
106,2024-12-24,Consumer,East Brianfurt,Tennessee,USA
107,2024-05-25,Consumer,Markberg,Arkansas,USA
108,2025-07-19,Consumer,Joberg,Connecticut,USA
109,2023-12-09,Consumer,Campbelltown,Massachusetts,USA
110,2023-08-31,Home Office,Andersonfurt,Virginia,USA
111,2024-03-19,Corporate,Lake Kenneth,Montana,USA
112,2024-05-13,Home Office,Mckenziechester,North Dakota,USA
113,2025-08-23,Consumer,New Larry,Vermont,USA
114,2025-04-26,Home Office,Lake Maria,South Carolina,USA
115,2025-07-31,Consumer,Johnsonmouth,Florida,USA
116,2025-01-22,Corporate,Nathanton,Utah,USA
117,2023-11-24,Consumer,New Patrick,Montana,USA
118,2024-03-28,Home Office,Parkerberg,Maine,USA
119,2024-09-18,Consumer,Samuelmouth,Maine,USA
120,2026-04-11,Consumer,Christopherstad,North Carolina,USA
121,2023-10-25,Corporate,Bellburgh,Oklahoma,USA
122,2025-03-29,Home Office,Port Tammyland,Minnesota,USA
123,2024-05-30,Home Office,North Elizabeth,Nebraska,USA
124,2024-04-08,Corporate,Krystalbury,California,USA
125,2025-11-05,Corporate,Mariaport,Oregon,USA
126,2025-10-17,Corporate,East Anthony,Michigan,USA
127,2023-09-29,Consumer,Susanville,Pennsylvania,USA
128,2025-08-11,Consumer,Youngbury,Georgia,USA
129,2025-08-14,Home Office,Walkerbury,Maine,USA
130,2023-05-19,Consumer,Palmerville,Vermont,USA
131,2023-07-30,Corporate,Amandaside,Oregon,USA
132,2025-08-07,Corporate,New Teresa,Wyoming,USA
133,2025-06-23,Home Office,East Kristin,Pennsylvania,USA
134,2024-05-10,Home Office,South Eric,Pennsylvania,USA
135,2025-12-08,Home Office,Johnbury,Colorado,USA
