order_id,return_flag,return_reason
172030,Yes,Customer Changed Mind
44465,Yes,Wrong Item
137007,Yes,Late Delivery
173053,Yes,Damaged
167492,Yes,Customer Changed Mind
148295,Yes,Late Delivery
50909,Yes,Late Delivery
158835,Yes,Customer Changed Mind
118917,Yes,Late Delivery
70362,Yes,Late Delivery
80376,Yes,Customer Changed Mind
185819,Yes,Late Delivery
128408,Yes,Late Delivery
137985,Yes,Wrong Item
57176,Yes,Damaged
108806,Yes,Wrong Item
134592,Yes,Late Delivery
26186,Yes,Wrong Item
167724,Yes,Damaged
41390,Yes,Customer Changed Mind
112002,Yes,Wrong Item
193091,Yes,Wrong Item
109638,Yes,Late Delivery
119038,Yes,Wrong Item
42159,Yes,Damaged
169245,Yes,Late Delivery
79121,Yes,Wrong Item
18066,Yes,Wrong Item
49691,Yes,Damaged
87376,Yes,Customer Changed Mind
17211,Yes,Damaged
106538,Yes,Wrong Item
150204,Yes,Damaged
135637,Yes,Late Delivery
188801,Yes,Damaged
155257,Yes,Damaged
137553,Yes,Wrong Item
134156,Yes,Customer Changed Mind
182818,Yes,Customer Changed Mind
118720,Yes,Wrong Item
180201,Yes,Customer Changed Mind
118134,Yes,Customer Changed Mind
80125,Yes,Late Delivery
148551,Yes,Damaged
139681,Yes,Wrong Item
194552,Yes,Damaged
134817,Yes,Late Delivery
147154,Yes,Wrong Item
29138,Yes,Customer Changed Mind
107965,Yes,Damaged
166809,Yes,Damaged
22934,Yes,Wrong Item
59099,Yes,Wrong Item
174557,Yes,Wrong Item
101789,Yes,Late Delivery
119407,Yes,Customer Changed Mind
17666,Yes,Customer Changed Mind
70149,Yes,Customer Changed Mind
111317,Yes,Customer Changed Mind
195062,Yes,Customer Changed Mind
170874,Yes,Damaged
35147,Yes,Late Delivery
189368,Yes,Customer Changed Mind
156595,Yes,Late Delivery
48035,Yes,Customer Changed Mind
78888,Yes,Wrong Item
133733,Yes,Late Delivery
55381,Yes,Late Delivery
183960,Yes,Customer Changed Mind
140096,Yes,Damaged
163037,Yes,Customer Changed Mind
50801,Yes,Late Delivery
164422,Yes,Wrong Item
37584,Yes,Late Delivery
2285,Yes,Customer Changed Mind
138206,Yes,Wrong Item
160713,Yes,Damaged
124260,Yes,Late Delivery
75194,Yes,Damaged
190004,Yes,Wrong Item
191782,Yes,Late Delivery
161197,Yes,Customer Changed Mind
164128,Yes,Customer Changed Mind
184227,Yes,Late Delivery
47518,Yes,Late Delivery
199282,Yes,Wrong Item
73845,Yes,Damaged
69763,Yes,Wrong Item
6889,Yes,Damaged
79290,Yes,Damaged
73582,Yes,Late Delivery
60377,Yes,Damaged
13916,Yes,Wrong Item
56913,Yes,Late Delivery
165718,Yes,Late Delivery
1929,Yes,Wrong Item
10018,Yes,Wrong Item
74194,Yes,Late Delivery
186381,Yes,Wrong Item
2269,Yes,Late Delivery
75161,Yes,Wrong Item
791,Yes,Wrong Item
26646,Yes,Late Delivery
174287,Yes,Damaged
172597,Yes,Late Delivery
86372,Yes,Damaged
7830,Yes,Wrong Item
104025,Yes,Customer Changed Mind
122878,Yes,Damaged
101910,Yes,Wrong Item
20060,Yes,Customer Changed Mind
131980,Yes,Wrong Item
63454,Yes,Damaged
23063,Yes,Damaged
51662,Yes,Wrong Item
67455,Yes,Late Delivery
104562,Yes,Damaged
48737,Yes,Damaged
178841,Yes,Damaged
43606,Yes,Late Delivery
111194,Yes,Damaged
84791,Yes,Customer Changed Mind
86974,Yes,Wrong Item
94722,Yes,Customer Changed Mind
159124,Yes,Customer Changed Mind
129745,Yes,Customer Changed Mind
183349,Yes,Wrong Item
130586,Yes,Wrong Item
157460,Yes,Late Delivery
126733,Yes,Late Delivery
65437,Yes,Late Delivery
118805,Yes,Wrong Item
178566,Yes,Customer Changed Mind
107658,Yes,Wrong Item
186550,Yes,Wrong Item
125373,Yes,Late Delivery
146108,Yes,Late Delivery
1437,Yes,Customer Changed Mind
192286,Yes,Customer Changed Mind
77310,Yes,Late Delivery
16170,Yes,Customer Changed Mind
85149,Yes,Damaged
195938,Yes,Wrong Item
30332,Yes,Late Delivery
24799,Yes,Damaged
20525,Yes,Damaged
148739,Yes,Damaged
83086,Yes,Late Delivery
69729,Yes,Wrong Item
159794,Yes,Damaged
51590,Yes,Late Delivery
163328,Yes,Damaged
99549,Yes,Customer Changed Mind
85749,Yes,Damaged
153598,Yes,Damaged
8614,Yes,Wrong Item
156957,Yes,Damaged
120701,Yes,Damaged
157715,Yes,Late Delivery
172452,Yes,Damaged
2760,Yes,Late Delivery
99870,Yes,Wrong Item
63973,Yes,Customer Changed Mind
4703,Yes,Damaged
191003,Yes,Late Delivery
36767,Yes,Late Delivery
71442,Yes,Damaged
128417,Yes,Damaged
94218,Yes,Late Delivery
23710,Yes,Late Delivery
85588,Yes,Late Delivery
38891,Yes,Customer Changed Mind
184135,Yes,Damaged
38763,Yes,Wrong Item
180521,Yes,Late Delivery
67326,Yes,Late Delivery
70793,Yes,Damaged
84749,Yes,Customer Changed Mind
33787,Yes,Wrong Item
116752,Yes,Damaged
116744,Yes,Late Delivery
178913,Yes,Late Delivery
92235,Yes,Wrong Item
156675,Yes,Late Delivery
35646,Yes,Damaged
94733,Yes,Customer Changed Mind
189138,Yes,Wrong Item
30390,Yes,Late Delivery
131723,Yes,Late Delivery
68068,Yes,Late Delivery
37801,Yes,Late Delivery
117553,Yes,Late Delivery
163796,Yes,Late Delivery
62311,Yes,Damaged
82663,Yes,Damaged
75406,Yes,Late Delivery
111217,Yes,Late Delivery
119927,Yes,Late Delivery
56624,Yes,Late Delivery
92825,Yes,Late Delivery
154912,Yes,Damaged
89646,Yes,Wrong Item
26769,Yes,Wrong Item
167386,Yes,Late Delivery
16781,Yes,Late Delivery
151438,Yes,Customer Changed Mind
150614,Yes,Wrong Item
2169,Yes,Wrong Item
80254,Yes,Wrong Item
173498,Yes,Late Delivery
23965,Yes,Wrong Item
133430,Yes,Customer Changed Mind
87882,Yes,Damaged
192427,Yes,Customer Changed Mind
139493,Yes,Wrong Item
49687,Yes,Late Delivery
13060,Yes,Late Delivery
57166,Yes,Wrong Item
89954,Yes,Late Delivery
104492,Yes,Damaged
41761,Yes,Damaged
183196,Yes,Late Delivery
191174,Yes,Customer Changed Mind
161188,Yes,Customer Changed Mind
88162,Yes,Customer Changed Mind
107663,Yes,Wrong Item
92176,Yes,Damaged
121716,Yes,Late Delivery
186135,Yes,Customer Changed Mind
174833,Yes,Customer Changed Mind
73566,Yes,Late Delivery
22409,Yes,Late Delivery
49192,Yes,Wrong Item
146237,Yes,Customer Changed Mind
47344,Yes,Customer Changed Mind
87043,Yes,Damaged
37327,Yes,Customer Changed Mind
83854,Yes,Customer Changed Mind
84591,Yes,Wrong Item
73726,Yes,Customer Changed Mind
126997,Yes,Wrong Item
44916,Yes,Late Delivery
52909,Yes,Customer Changed Mind
192837,Yes,Damaged
23386,Yes,Wrong Item
168160,Yes,Wrong Item
122575,Yes,Wrong Item
124902,Yes,Late Delivery
166904,Yes,Wrong Item
66137,Yes,Damaged
68323,Yes,Damaged
165726,Yes,Damaged
115892,Yes,Late Delivery
158451,Yes,Late Delivery
91833,Yes,Late Delivery
114675,Yes,Customer Changed Mind
157249,Yes,Wrong Item
